ID,Name,Age,Gender,Income,Signup_Date,Purchase_Amount,City,Membership,Preferred_Channel,PC_Encoded
796,david,39.0,male,83284000.0,17/11/2018,0.043320936777565586,Los Angeles,P,Mobile,4
469,,18.0,F,88650000.0,29/05/2022,0.01769022012262539,NYC,Gold,In-Store,3
479,alice,54.0,,,03/06/2021,0.01427279123530003,New York,,Mobile,4
808,Bob,23.0,male,41880000.0,23/11/2020,0.013066639863302844,losangeles,S,1,0
506,Bob,15.0,F,70000.0,04/06/2022,0.6914262739973867,chicago,Gold,In-Store,3
280,alice,49.0,male,57965000.0,06/07/2019,0.013468690320635239,chicago,P,In-Store,3
144,Alice,57.0,M,94209000.0,"Aug 24, 2020",0.0027138405869936676,newyork,Silver,3,2
433,david,21.0,F,44928000.0,"Sep 20, 2019",0.030455322142928936,New York,G,2,1
84,Charlie,64.0,F,84884000.0,"Aug 26, 2022",0.0421147854055684,LA,,2,1
957,Eve,70.0,female,30000000.0,21/05/2020,0.030455322142928936,LA,S,In-Store,3
582,,65.0,male,,12/01/2018,0.03538044024525078,NYC,Gold,Online,5
327,Alice,66.0,,41694000.0,"Apr 17, 2020",0.024424565282943008,New York,Silver,1,0
24,FRANK,33.0,M,70000.0,14/10/2018,0.45753342044426576,New York,S,Mobile,4
897,david,,M,93727000.0,09/02/2018,0.030455322142928936,chicago,Platinum,Online,5
771,,13.0,female,72540000.0,"Jan 07, 2022",0.030455322142928936,LA,Silver,3,2
148,Charlie,70.0,Male,70000.0,04/02/2020,0.0007035883003316916,NYC,Silver,3,2
835,Bob,92.0,male,44125000.0,08/06/2022,0.6272992260528696,Los Angeles,Gold,3,2
906,FRANK,59.0,,40971000.0,20/02/2021,0.03306865011558951,newyork,Gold,Mobile,4
66,Bob,112.0,Male,50000.0,18/06/2021,0.3025429691426274,LA,,1,0
459,Alice,59.0,M,30000000.0,07/08/2018,0.02754045632726907,losangeles,S,2,1
998,,26.0,F,87213000.0,29/10/2019,0.030455322142928936,Los Angeles,,Online,5
793,alice,,female,70000.0,29/04/2021,0.030455322142928936,NYC,Gold,2,1
770,Alice,,M,,23/04/2023,0.5201527791737863,New York,S,1,0
258,,,male,59768000.0,09/03/2020,0.030455322142928936,chicago,S,2,1
353,FRANK,,female,58844000.0,27/05/2021,0.04131068449090361,LA,,In-Store,3
267,Eve,23.0,Male,92371000.0,"Apr 25, 2018",0.8002814353201326,NYC,Gold,Online,5
683,Alice,18.0,F,42427000.0,27/01/2020,0.968439039099407,newyork,Gold,In-Store,3
43,FRANK,46.0,female,25978000.0,16/08/2018,0.030455322142928936,newyork,S,2,1
529,Bob,34.0,female,,16/03/2022,0.04553221429289376,LA,P,Online,5
98,FRANK,,M,58252000.0,07/05/2022,0.19981907729420043,chicago,Silver,Online,5
72,david,54.0,F,39416000.0,25/11/2022,0.016182530907628907,New York,Silver,Online,5
868,Bob,,F,37428000.0,21/03/2021,0.030455322142928936,chicago,Platinum,Mobile,4
14,FRANK,51.0,F,26752000.0,16/06/2020,0.043019398934566286,newyork,S,Online,5
412,Charlie,53.0,F,50000.0,"Jan 24, 2021",0.011056387576640868,Chicago,Silver,2,1
565,Alice,40.0,F,90070000.0,"Aug 01, 2022",0.04311991154889939,LA,Gold,Mobile,4
831,FRANK,,M,20183000.0,15/10/2018,0.030455322142928936,Chicago,Platinum,3,2
839,FRANK,,,70000.0,"Dec 03, 2021",0.012966127248969745,Los Angeles,Gold,Mobile,4
124,Charlie,119.0,F,30000000.0,10/01/2020,0.011961001105638757,newyork,P,In-Store,3
702,alice,49.0,M,62540000.0,16/03/2019,0.0416122223339029,newyork,P,Mobile,4
343,alice,115.0,M,91994000.0,12/04/2019,0.044326062920896574,losangeles,Gold,Online,5
673,Charlie,74.0,F,37512000.0,"Feb 12, 2019",0.9894461754950247,NYC,Gold,2,1
797,Charlie,21.0,Male,58652000.0,12/03/2022,0.03648607900291487,chicago,Silver,Mobile,4
803,Bob,86.0,male,27505000.0,08/08/2021,0.008945622675645793,LA,Gold,In-Store,3
828,alice,70.0,F,50000.0,09/07/2022,0.0067343451603176195,newyork,Silver,2,1
294,Alice,,male,48741000.0,31/08/2022,0.04271786109156699,newyork,Gold,Online,5
669,Eve,12.0,M,43165000.0,2021/13/40,0.030455322142928936,LA,Silver,3,2
620,david,46.0,f,22049000.0,14/06/2020,0.4723087747512313,New York,S,Mobile,4
716,Alice,49.0,Male,,"Nov 24, 2022",0.8397828927530405,LA,Silver,Mobile,4
676,david,43.0,M,30000000.0,"Oct 04, 2020",0.02673635541260428,Los Angeles,Gold,1,0
893,Alice,53.0,Male,70067000.0,23/07/2021,0.012162026334304955,newyork,,2,1
138,FRANK,,M,70000.0,03/03/2021,0.2693738064127048,Chicago,Silver,1,0
216,Eve,,,30000000.0,18/05/2022,0.0057292190169866315,NYC,Gold,1,0
161,,,female,30000000.0,24/06/2022,0.9228063121921801,NYC,Silver,Mobile,4
28,alice,106.0,female,77958000.0,17/08/2020,0.02010252286661976,New York,,3,2
277,Eve,41.0,female,62501000.0,21/04/2022,0.04854759272288672,New York,G,3,2
622,Alice,,f,46728000.0,11/08/2020,0.4454719067242939,Los Angeles,G,In-Store,3
926,david,,Male,30000000.0,22/02/2022,0.026535330183938083,LA,Gold,2,1
988,Eve,,,40400000.0,30/05/2018,0.030455322142928936,Chicago,,Online,5
390,FRANK,46.0,M,500000000.0,27/11/2019,0.03658659161724796,Chicago,Gold,In-Store,3
423,Alice,66.0,male,68318000.0,19/11/2021,0.44868831038295304,NYC,Silver,Online,5
265,FRANK,,Male,82784000.0,2021/13/40,0.007437933460649311,Chicago,Platinum,3,2
173,Eve,,Male,85006000.0,2021/13/40,0.0022112775153281736,Los Angeles,Platinum,2,1
316,Bob,,Male,80213000.0,"Apr 07, 2019",0.0007035883003316916,New York,G,3,2
732,FRANK,24.0,M,43083000.0,15/06/2019,0.01175997587697256,chicago,Gold,2,1
254,,,Male,94666000.0,"Apr 22, 2022",0.04573323952155996,New York,Silver,2,1
965,,65.0,female,70000.0,31/08/2021,0.0008041009146647904,newyork,,In-Store,3
400,alice,34.0,male,56968000.0,"Mar 22, 2021",0.035581465473916975,Chicago,S,Online,5
798,,20.0,M,60653000.0,04/01/2022,0.030455322142928936,chicago,,1,0
232,FRANK,31.0,male,43295000.0,31/10/2018,0.023720976982611316,newyork,,In-Store,3
252,Charlie,63.0,f,99668000.0,26/07/2018,0.019499447180621167,New York,Platinum,Mobile,4
355,alice,66.0,M,29103000.0,19/04/2023,0.0023117901296612724,newyork,Silver,1,0
960,alice,58.0,M,29443000.0,"Jan 11, 2021",0.026133279726605688,New York,Gold,2,1
886,FRANK,105.0,M,52145000.0,"Nov 02, 2019",0.8913458639059202,New York,P,3,2
875,Eve,,f,70000.0,09/09/2021,0.0062317820886521255,losangeles,,3,2
804,Bob,26.0,,33137000.0,01/12/2018,0.028143532013267664,Los Angeles,,Online,5
67,,,,,23/04/2019,0.0420142727912353,Chicago,Gold,3,2
354,Bob,139.0,f,21545000.0,25/02/2018,0.009649210975977485,Chicago,G,In-Store,3
247,,,,50000.0,19/04/2023,0.019700472409287365,newyork,Platinum,1,0
524,Charlie,,M,70330000.0,26/04/2023,0.014775354306965523,NYC,S,2,1
856,Eve,70.0,male,34422000.0,12/11/2022,0.04714041612222334,losangeles,G,2,1
938,FRANK,,f,25733000.0,04/07/2020,0.04613528997889235,Los Angeles,S,Online,5
184,Bob,119.0,female,52550000.0,26/02/2019,0.030455322142928936,Chicago,Gold,3,2
61,Bob,,male,55082000.0,13/09/2018,0.04774349180822193,New York,Platinum,In-Store,3
574,FRANK,53.0,,98595000.0,03/11/2020,0.0333701879585888,New York,Silver,Online,5
92,Eve,77.0,,21231000.0,06/03/2019,0.032968137501256406,losangeles,Platinum,In-Store,3
69,Eve,46.0,f,91089000.0,"Feb 25, 2022",0.03025429691426274,chicago,Silver,3,2
739,alice,,f,31136000.0,11/10/2019,0.030455322142928936,chicago,Silver,2,1
988,,121.0,female,38249000.0,"Jul 05, 2018",0.04040607096190572,losangeles,Silver,3,2
768,Charlie,130.0,M,70000.0,07/11/2020,0.030455322142928936,New York,S,3,2
750,alice,,Male,500000000.0,03/02/2018,0.04020504573323952,New York,Platinum,1,0
813,FRANK,31.0,,63483000.0,10/05/2020,0.030455322142928936,NYC,G,Mobile,4
360,alice,,M,500000000.0,"Jul 24, 2018",0.3271685596542366,chicago,Silver,In-Store,3
225,Alice,,M,27323000.0,27/09/2019,0.016182530907628907,Los Angeles,Gold,3,2
133,FRANK,,,,"Oct 03, 2022",0.02100713639561765,newyork,Silver,1,0
250,,,M,91252000.0,07/12/2021,0.6204643682782189,losangeles,P,2,1
33,Eve,,,22779000.0,18/07/2022,0.2603276711227259,New York,Silver,2,1
927,Alice,,F,33476000.0,"Feb 02, 2018",0.0001005126143330988,New York,Silver,Online,5
172,Bob,,F,,"Jan 12, 2023",0.03769223037491205,chicago,Gold,Mobile,4
