ID,Name,Age,Gender,Income,Signup_Date,Purchase_Amount,City,Membership,Preferred_Channel
796,david,39,male,83284,17/11/2018,441,Los Angeles,P,Mobile
469,,18,F,88650,29/05/2022,186,NYC,Gold,In-Store
479,alice,54,,,03/06/2021,152,New York,,Mobile
808,Bob,23,male,41880,23/11/2020,140,losangeles,S,1
506,Bob,15,F,70K,04/06/2022,6889,chicago,gold,In-Store
280,alice,49,male,57965,06/07/2019,144,chicago,P,In-Store
144,Alice,57,M,94209,"Aug 24, 2020",37,newyork,Silver,3
433,david,21,F,44928,"Sep 20, 2019",,New York,G,2
84,Charlie,64,F,84884,"Aug 26, 2022",429,LA,,2
957,Eve,70,female,"30,000",21/05/2020,,LA,S,In-Store
582,,65,male,,12/01/2018,362,NYC,gold,Online
327,Alice,66,,41694,"Apr 17, 2020",253,New York,SILVER,1
24,FRANK,33,M,-10000,14/10/2018,4562,New York,S,Mobile
897,david,,M,93727,09/02/2018,£90,chicago,Platinum,Online
771,,13,female,72540,"Jan 07, 2022",,LA,Silver,3
148,Charlie,70,Male,70K,04/02/2020,17,NYC,SILVER,3
835,Bob,92,male,44125,08/06/2022,6251,Los Angeles,Gold,3
906,FRANK,59,,40971,20/02/2021,339,newyork,gold,Mobile
66,Bob,112,Male,50k,18/06/2021,3020,LA,,1
459,Alice,59,M,"30,000",07/08/2018,284,losangeles,S,2
998,,26,F,87213,29/10/2019,£90,Los Angeles,,Online
793,alice,,female,-10000,29/04/2021,,NYC,Gold,2
770,Alice,,M,,23/04/2023,5185,New York,S,1
258,,,male,59768,09/03/2020,,chicago,S,2
353,FRANK,,female,58844,27/05/2021,421,LA,,In-Store
267,Eve,23,Male,92371,"Apr 25, 2018",7972,NYC,gold,Online
683,Alice,18,F,42427,27/01/2020,9645,newyork,gold,In-Store
43,FRANK,46,female,25978,16/08/2018,,newyork,S,2
529,Bob,34,female,,16/03/2022,463,LA,P,Online
98,FRANK,,M,58252,07/05/2022,1998,chicago,SILVER,Online
72,david,54,F,39416,25/11/2022,171,New York,SILVER,Online
868,Bob,,F,37428,21/03/2021,£90,chicago,Platinum,Mobile
14,FRANK,51,F,26752,16/06/2020,438,newyork,S,Online
412,Charlie,53,F,50k,"Jan 24, 2021",$120,Chicago,Silver,2
565,Alice,40,F,90070,"Aug 01, 2022",439,LA,gold,Mobile
831,FRANK,,M,20183,15/10/2018,£90,Chicago,Platinum,3
839,FRANK,,,70K,"Dec 03, 2021",139,Los Angeles,Gold,Mobile
124,Charlie,119,F,"30,000",10/01/2020,129,newyork,P,In-Store
702,alice,49,M,62540,16/03/2019,424,newyork,P,Mobile
343,alice,115,M,91994,12/04/2019,451,losangeles,Gold,Online
673,Charlie,74,F,37512,"Feb 12, 2019",9854,NYC,Gold,2
797,Charlie,21,Male,58652,12/03/2022,373,chicago,SILVER,Mobile
803,Bob,86,male,27505,08/08/2021,99,LA,Gold,In-Store
828,alice,70,F,50k,09/07/2022,77,newyork,Silver,2
294,Alice,,male,48741,31/08/2022,435,newyork,Gold,Online
669,Eve,12,M,43165,2021-13-40,,LA,SILVER,3
620,david,46,f,22049,14/06/2020,4709,New York,S,Mobile
716,Alice,49,Male,,"Nov 24, 2022",8365,LA,SILVER,Mobile
676,david,43,M,"30,000","Oct 04, 2020",276,Los Angeles,gold,1
893,Alice,53,Male,70067,23/07/2021,131,newyork,,2
138,FRANK,,M,70K,03/03/2021,2690,Chicago,SILVER,1
216,Eve,,,"30,000",18/05/2022,67,NYC,Gold,1
161,,,female,"30,000",24/06/2022,9191,NYC,Silver,Mobile
28,alice,106,female,77958,17/08/2020,210,New York,,3
277,Eve,41,female,62501,21/04/2022,493,New York,G,3
622,Alice,,f,46728,11/08/2020,4442,Los Angeles,G,In-Store
926,david,,Male,"30,000",22/02/2022,274,LA,gold,2
988,Eve,,,40400,30/05/2018,,Chicago,,Online
390,FRANK,46,M,500000,27/11/2019,374,Chicago,Gold,In-Store
423,Alice,66,male,68318,19/11/2021,4474,NYC,Silver,Online
265,FRANK,,Male,82784,2021-13-40,84,Chicago,Platinum,3
173,Eve,,Male,85006,2021-13-40,32,Los Angeles,Platinum,2
316,Bob,,Male,80213,"Apr 07, 2019",17,New York,G,3
732,FRANK,24,M,43083,15/06/2019,127,chicago,Gold,2
254,,,Male,94666,"Apr 22, 2022",465,New York,Silver,2
965,,65,female,-10000,31/08/2021,18,newyork,,In-Store
400,alice,34,male,56968,"Mar 22, 2021",364,Chicago,S,Online
798,,20,M,60653,04/01/2022,,chicago,,1
232,FRANK,31,male,43295,31/10/2018,246,newyork,,In-Store
252,Charlie,63,f,99668,26/07/2018,204,New York,Platinum,Mobile
355,alice,66,M,29103,19/04/2023,33,newyork,SILVER,1
960,alice,58,M,29443,"Jan 11, 2021",270,New York,Gold,2
886,FRANK,105,M,52145,"Nov 02, 2019",8878,New York,P,3
875,Eve,,f,-10000,09/09/2021,72,losangeles,,3
804,Bob,26,,33137,01/12/2018,290,Los Angeles,,Online
67,,,,,23/04/2019,428,Chicago,Gold,3
354,Bob,139,f,21545,25/02/2018,106,Chicago,G,In-Store
247,,,,50k,19/04/2023,206,newyork,Platinum,1
524,Charlie,,M,70330,26/04/2023,157,NYC,S,2
856,Eve,70,male,34422,12/11/2022,479,losangeles,G,2
938,FRANK,,f,25733,04/07/2020,469,Los Angeles,S,Online
184,Bob,119,female,52550,26/02/2019,,Chicago,gold,3
61,Bob,,male,55082,13/09/2018,485,New York,Platinum,In-Store
574,FRANK,53,,98595,03/11/2020,342,New York,SILVER,Online
92,Eve,77,,21231,06/03/2019,338,losangeles,Platinum,In-Store
69,Eve,46,f,91089,"Feb 25, 2022",311,chicago,Silver,3
739,alice,,f,31136,11/10/2019,,chicago,Silver,2
988,,121,female,38249,"Jul 05, 2018",412,losangeles,Silver,3
768,Charlie,130,M,-10000,07/11/2020,€100,New York,S,3
750,alice,,Male,500000,03/02/2018,410,New York,Platinum,1
813,FRANK,31,,63483,10/05/2020,,NYC,G,Mobile
360,alice,,M,500000,"Jul 24, 2018",3265,chicago,Silver,In-Store
225,Alice,,M,27323,27/09/2019,171,Los Angeles,Gold,3
133,FRANK,,,,"Oct 03, 2022",219,newyork,Silver,1
250,,,M,91252,07/12/2021,6183,losangeles,P,2
33,Eve,,,22779,18/07/2022,2600,New York,SILVER,2
927,Alice,,F,33476,"Feb 02, 2018",11,New York,SILVER,Online
